DatGeracaoConjuntoDados;AnoReferencia;MesReferencia;NomUF;SigUF;MdaPotenciaInstaladakW
2026-07-01;2012;12;CEARA;CE;1769522,00
2026-07-01;2012;12;DISTRITO FEDERAL;DF;43766,00
2026-07-01;2012;12;ESPIRITO SANTO;ES;1872815,00
2026-07-01;2012;12;GOIAS;GO;10261018,20
2026-07-01;2012;12;MARANHAO;MA;1591274,80
2026-07-01;2012;12;MINAS GERAIS;MG;19662121,16
2026-07-01;2012;12;MATO GROSSO DO SUL;MS;8440948,00
2026-07-01;2012;12;MATO GROSSO;MT;2640048,82
2026-07-01;2012;12;PARA;PA;8885729,60
2026-07-01;2012;12;PARAIBA;PB;640470,00
2026-07-01;2012;12;PERNAMBUCO;PE;2817094,70
2026-07-01;2012;12;PIAUI;PI;316944,00
2026-07-01;2012;12;PARANA;PR;18130570,20
2026-07-01;2012;12;RIO DE JANEIRO;RJ;8699748,40
2026-07-01;2012;12;RIO GRANDE DO NORTE;RN;926704,00
2026-07-01;2012;12;RONDONIA;RO;1630940,48
2026-07-01;2012;12;RORAIMA;RR;122610,40
2026-07-01;2012;12;RIO GRANDE DO SUL;RS;8925936,40
2026-07-01;2012;12;SANTA CATARINA;SC;7177788,80
2026-07-01;2012;12;SERGIPE;SE;3282279,40
2026-07-01;2012;12;SÃO PAULO;SP;24923400,98
2026-07-01;2012;12;TOCANTINS;TO;2732130,00
2026-07-01;2013;3 ;ACRE;AC;189691,00
2026-07-01;2013;3 ;ALAGOAS;AL;7690487,00
2026-07-01;2013;3 ;AMAZONAS;AM;2262760,00
2026-07-01;2013;3 ;AMAPA;AP;297949,00
2026-07-01;2013;3 ;BAHIA;BA;9838077,00
2026-07-01;2013;3 ;CEARA;CE;1831551,00
2026-07-01;2013;3 ;DISTRITO FEDERAL;DF;43766,00
2026-07-01;2013;3 ;ESPIRITO SANTO;ES;1872815,00
2026-07-01;2013;3 ;GOIAS;GO;10575553,00
2026-07-01;2013;3 ;MARANHAO;MA;2633762,00
2026-07-01;2013;3 ;MINAS GERAIS;MG;19686402,00
2026-07-01;2013;3 ;MATO GROSSO DO SUL;MS;8437948,00
